lineup_id,Driver1,Driver2,n_races,mean_delta_sec,median_delta_sec,mean_delta_pct,se_delta,t_stat,p_value,race_gap,race_se,race_n,race_minus_quali,concordant
Ferrari_2018_A,RAI,VET,21,-0.24914285714285575,-0.22700000000000387,-0.30052491581429386,0.058357367254915866,-4.269261429401934,0.0003748428908575223,0.063,0.055,12,0.3121428571428557,False
Ferrari_2019_A,LEC,VET,9,0.11711111111111133,0.29399999999999693,0.14424723934079287,0.17736344077474672,0.6602888994459888,0.5276184766854181,-0.108,0.039,18,-0.22511111111111132,False
Haas F1 Team_2019_A,GRO,MAG,15,-0.22299999999999898,-0.16900000000001114,-0.26164073574023944,0.09766936450036309,-2.2832133816041154,0.03855711965522641,-0.071,0.055,14,0.15199999999999897,True
McLaren_2018_A,ALO,VAN,21,0.44752380952380866,0.39000000000000057,0.5131802644820881,0.06522129432601058,6.861621103176019,1.145715992455297e-06,0.525,0.118,3,0.07747619047619136,True
McLaren_2019_A,NOR,SAI,15,0.08946666666666943,0.05200000000000671,0.07533903211689408,0.1478202855679727,0.605239438707008,0.5547046499541489,0.07,0.086,4,-0.01946666666666942,True
Mercedes_2018_A,BOT,HAM,21,-0.11033333333333402,-0.1599999999999966,-0.10615673318108827,0.10696566724072722,-1.0314836169350288,0.31462713650522794,-0.308,0.059,12,-0.197666666666666,True
Mercedes_2019_A,BOT,HAM,15,-0.12080000000000127,-0.08599999999999852,-0.14971041787557515,0.08471499558041898,-1.4259576970092294,0.17579672597365573,-0.199,0.033,20,-0.07819999999999874,True
Racing Point_2018_A,OCO,PER,9,0.15066666666666764,0.028999999999996362,0.17557542980141103,0.13568079369526742,1.1104494789812165,0.29906400216109574,0.07,0.185,3,-0.08066666666666764,True
Racing Point_2019_A,PER,STR,15,0.4871333333333335,0.480000000000004,0.5448811278654561,0.13723281804731058,3.5496854197470156,0.0032029274347872548,0.157,0.054,11,-0.3301333333333335,True
Red Bull Racing_2018_A,RIC,VER,16,-0.35924999999999896,-0.1844999999999999,-0.4554270750475217,0.16208918584121126,-2.216372413344922,0.04254376321229332,0.003,0.065,5,0.36224999999999896,False
Red Bull Racing_2019_E,GAS,VER,6,-0.4233333333333344,-0.5444999999999993,-0.4883042598828678,0.2211864472440497,-1.9139207605529405,0.11381247446169827,-0.874,0.063,5,-0.4506666666666656,True
Renault_2019_A,HUL,RIC,13,-0.21569230769230893,-0.21600000000000819,-0.22771579836685235,0.11421490004594405,-1.8884778396298962,0.08336848917574004,-0.022,0.044,19,0.19369230769230894,True
Toro Rosso_2018_A,GAS,HAR,7,1.982285714285717,0.49200000000000443,1.8744889831908425,1.8239106169918282,1.086832707600056,0.31883228753535375,-290.057,8.065,3,-292.0392857142857,False
