lineup_id,Driver1,Driver2,n_races,mean_delta_sec,median_delta_sec,mean_delta_pct,se_delta,t_stat,p_value
Alfa Romeo Racing_2019_E,GIO,RAI,7,-0.22928571428571484,-0.001999999999995339,-0.3090629718235351,0.1614421191112454,-1.4202347909452318,0.20535357781828806
Ferrari_2018_A,RAI,VET,21,-0.24914285714285575,-0.22700000000000387,-0.30052491581429386,0.058357367254915866,-4.269261429401934,0.0003748428908575223
Ferrari_2019_A,LEC,VET,9,0.11711111111111133,0.29399999999999693,0.14424723934079287,0.17736344077474672,0.6602888994459888,0.5276184766854181
Ferrari_2019_C,LEC,VET,5,-0.22400000000000092,0.027999999999991587,-0.3277575715812412,0.2612914082016458,-0.8572803887494604,0.43961609244123806
Force India_2018_A,OCO,PER,12,-0.0027500000000024727,0.07150000000000034,-0.000378194958460779,0.11554292951369209,-0.023800677476128837,0.9814378709423853
Haas F1 Team_2018_E,GRO,MAG,12,0.38208333333333516,0.4720000000000013,0.44002678327639827,0.14040625354788716,2.7212700551334157,0.019886258354627713
Haas F1 Team_2019_A,GRO,MAG,15,-0.22299999999999898,-0.16900000000001114,-0.26164073574023944,0.09766936450036309,-2.2832133816041154,0.03855711965522641
McLaren_2018_A,ALO,VAN,21,0.44752380952380866,0.39000000000000057,0.5131802644820881,0.06522129432601058,6.861621103176019,1.145715992455297e-06
McLaren_2019_A,NOR,SAI,15,0.08946666666666943,0.05200000000000671,0.07533903211689408,0.1478202855679727,0.605239438707008,0.5547046499541489
Mercedes_2018_A,BOT,HAM,21,-0.11033333333333402,-0.1599999999999966,-0.10615673318108827,0.10696566724072722,-1.0314836169350288,0.31462713650522794
Mercedes_2019_A,BOT,HAM,15,-0.12080000000000127,-0.08599999999999852,-0.14971041787557515,0.08471499558041898,-1.4259576970092294,0.17579672597365573
Racing Point_2018_A,OCO,PER,9,0.15066666666666764,0.028999999999996362,0.17557542980141103,0.13568079369526742,1.1104494789812165,0.29906400216109574
Racing Point_2019_A,PER,STR,15,0.4871333333333335,0.480000000000004,0.5448811278654561,0.13723281804731058,3.5496854197470156,0.0032029274347872548
Red Bull Racing_2018_A,RIC,VER,16,-0.35924999999999896,-0.1844999999999999,-0.4554270750475217,0.16208918584121126,-2.216372413344922,0.04254376321229332
Red Bull Racing_2019_E,GAS,VER,6,-0.4233333333333344,-0.5444999999999993,-0.4883042598828678,0.2211864472440497,-1.9139207605529405,0.11381247446169827
Renault_2018_A,HUL,SAI,21,0.05223809523809632,0.18099999999999739,0.04215668667672922,0.09554985995259994,0.5467103276133572,0.5906259037520502
Renault_2019_A,HUL,RIC,13,-0.21569230769230893,-0.21600000000000819,-0.22771579836685235,0.11421490004594405,-1.8884778396298962,0.08336848917574004
Sauber_2018_A,ERI,LEC,21,-0.6204761904761933,-0.5510000000000019,-0.7198404937339034,0.13420892772531567,-4.6232109964108865,0.00016424059805660385
Toro Rosso_2018_A,GAS,HAR,7,1.982285714285717,0.49200000000000443,1.8744889831908425,1.8239106169918282,1.086832707600056,0.31883228753535375
Toro Rosso_2018_C,GAS,HAR,11,0.20390909090909304,0.19499999999999318,0.24082855266911476,0.13614140072636077,1.4977742980545852,0.16507548564441846
Williams_2018_A,SIR,STR,7,-0.08528571428571549,0.046999999999997044,-0.09433715235344738,0.11788447013631392,-0.7234686145435156,0.49661618154270093
Williams_2018_C,SIR,STR,13,0.14476923076923115,0.09300000000000352,0.17050540881226686,0.12179218080697926,1.188657841661172,0.2575657932174405
Williams_2019_C,KUB,RUS,10,-0.5429999999999993,-0.44200000000000017,-0.6728470505048852,0.13397429272480207,-4.053016358260468,0.002871891136461208
