lineup_id,d1,d2,n_d1,n_d2,median_d1,median_d2,median_diff,p_value
Alfa Romeo Racing_2019_C,GIO,RAI,18,19,0.2967499999999994,0.30299999999999727,0.006249999999997868,0.9878778646454345
Alfa Romeo Racing_2020_C,GIO,RAI,16,14,-0.2110000000000003,-0.008500000000001506,0.2024999999999988,0.1766817023157824
Alfa Romeo_2023_A,BOT,ZHO,36,43,0.3589999999999982,0.2960000000000029,-0.06299999999999528,0.8981713371394822
AlphaTauri_2020_E,GAS,KVY,13,11,0.0,0.0030000000000001137,0.0030000000000001137,0.9537589904791391
AlphaTauri_2021_A,GAS,TSU,15,11,-0.030999999999998806,0.0010000000000012221,0.03200000000000003,0.7952497535349383
AlphaTauri_2022_A,GAS,TSU,24,29,-0.45700000000000074,-0.36400000000000077,0.09299999999999997,0.9572485124986442
Alpine_2021_C,ALO,OCO,16,17,-0.1714999999999982,-0.24050000000000082,-0.06900000000000261,0.5284437757090688
Alpine_2022_A,ALO,OCO,18,15,-0.16499999999999915,0.16900000000000048,0.33399999999999963,0.1639313501447487
Alpine_2022_E,ALO,OCO,13,12,-0.059499999999999886,-0.11224999999999952,-0.05274999999999963,0.8066362801930473
Alpine_2023_E,GAS,OCO,10,10,0.33500000000000085,-0.2104999999999997,-0.5455000000000005,0.161972410480126
Alpine_2023_G,GAS,OCO,11,14,0.767000000000003,0.023500000000002075,-0.7435000000000009,0.16271609155782685
Alpine_2024_D,GAS,OCO,15,15,-0.08099999999999952,0.062000000000001165,0.14300000000000068,0.6482039260122094
Aston Martin_2022_E,STR,VET,12,13,0.37450000000000117,-0.5299999999999976,-0.9044999999999987,0.10858440161427454
Aston Martin_2023_A,ALO,STR,29,30,0.17099999999999937,-0.031000000000000583,-0.20199999999999996,0.16534438401785478
Aston Martin_2024_A,ALO,STR,29,28,0.08799999999999741,-0.040000000000000924,-0.12799999999999834,0.3799724381422285
Aston Martin_2025_A,ALO,STR,13,15,-0.027499999999999858,-0.020000000000003126,0.0074999999999967315,0.7124458824716295
Ferrari_2018_B,RAI,VET,20,22,-0.285499999999999,-0.44899999999999807,-0.1634999999999991,0.3579572095044159
Ferrari_2019_A,LEC,VET,27,28,-0.2380000000000031,-0.14649999999999963,0.09150000000000347,0.6676715837808198
Ferrari_2020_A,LEC,VET,13,14,0.17050000000000054,-0.09950000000000081,-0.27000000000000135,0.1984628844147559
Ferrari_2021_G,LEC,SAI,10,10,-0.0035000000000007248,-0.1977499999999992,-0.19424999999999848,0.6775849579524755
Ferrari_2022_E,LEC,SAI,11,11,-0.15899999999999892,-0.565999999999999,-0.40700000000000003,0.16790547565263503
Ferrari_2023_C,LEC,SAI,19,22,-0.4684999999999988,-0.42100000000000115,0.047499999999997655,0.824137200821752
Ferrari_2024_A,LEC,SAI,30,27,-0.15500000000000114,-0.30400000000000205,-0.1490000000000009,0.6836086269093582
Ferrari_2025_A,HAM,LEC,18,15,-0.2814999999999994,-0.09049999999999869,0.19100000000000072,0.5507354210833397
Ferrari_2025_C,HAM,LEC,18,18,-0.22249999999999837,-0.2884999999999991,-0.06600000000000072,0.7041773020921105
Haas F1 Team_2018_A,GRO,MAG,27,20,0.32250000000000156,0.037499999999999645,-0.2850000000000019,0.2966778917790671
Haas F1 Team_2019_A,GRO,MAG,21,29,0.045999999999999375,0.2589999999999968,0.2129999999999974,0.7531433943025466
Haas F1 Team_2021_F,MAZ,MSC,17,14,0.5489999999999995,0.22274999999999956,-0.32624999999999993,0.7659271287306254
Haas F1 Team_2022_A,MAG,MSC,11,12,0.29299999999999926,0.5500000000000025,0.2570000000000032,0.388768210791802
Haas F1 Team_2022_C,MAG,MSC,13,12,1.0600000000000023,0.4859999999999989,-0.5740000000000034,0.10858440161427454
Haas F1 Team_2023_E,HUL,MAG,24,24,0.1327499999999997,0.2032500000000006,0.0705000000000009,0.9835486169845645
Haas F1 Team_2024_C,HUL,MAG,28,25,0.27649999999999864,0.6779999999999973,0.40149999999999864,0.009046177202695618
Haas F1 Team_2025_A,BEA,OCO,24,24,0.2079999999999984,0.29049999999999976,0.08250000000000135,0.8608698044170195
Haas F1 Team_2025_C,BEA,OCO,10,10,0.07750000000000057,0.7515000000000001,0.6739999999999995,0.025748080821108073
Kick Sauber_2024_C,BOT,ZHO,26,26,0.1504999999999992,0.3984999999999985,0.24799999999999933,0.16987095264440122
McLaren_2021_A,NOR,RIC,19,19,0.16900000000000048,0.0400000000000027,-0.12899999999999778,0.6934698169458754
McLaren_2022_A,NOR,RIC,33,36,-0.1720000000000006,-0.12249999999999872,0.049500000000001876,0.6012884861622158
McLaren_2023_E,NOR,PIA,12,11,-0.4535000000000018,-0.26599999999999824,0.18750000000000355,0.7817614488837078
McLaren_2023_G,NOR,PIA,13,11,-0.12450000000000117,-0.20199999999999818,-0.07749999999999702,0.9077531215721959
McLaren_2024_A,NOR,PIA,36,35,-0.41849999999999987,-0.1490000000000009,0.26949999999999896,0.3545301972151451
McLaren_2025_C,NOR,PIA,30,32,-0.18249999999999922,-0.07499999999999929,0.10749999999999993,0.9046968873203879
Mercedes_2018_C,BOT,HAM,22,22,-0.4789999999999992,-0.33225000000000016,0.14674999999999905,0.9719131339533064
Mercedes_2019_A,BOT,HAM,32,31,-0.2660000000000018,-0.2950000000000017,-0.028999999999999915,0.8473670485803363
Mercedes_2020_A,BOT,HAM,19,17,-0.03450000000000131,-0.030000000000001137,0.0045000000000001705,0.41001002283362786
Mercedes_2021_A,BOT,HAM,11,11,-0.027999999999998693,-0.24899999999999878,-0.22100000000000009,0.5993606964290359
Mercedes_2021_F,BOT,HAM,17,19,-0.4299999999999997,-0.3305000000000007,0.09949999999999903,0.7037595070497074
Mercedes_2022_D,HAM,RUS,21,28,-0.18999999999999773,-0.15850000000000009,0.03149999999999764,0.3961318591572768
Mercedes_2023_E,HAM,RUS,15,13,-0.25,-0.18649999999999878,0.06350000000000122,0.8178378992551184
Mercedes_2024_A,HAM,RUS,28,28,-0.27050000000000196,-0.24200000000000088,0.02850000000000108,0.49128971912568764
Mercedes_2025_C,ANT,RUS,36,34,0.0,-0.2090000000000014,-0.2090000000000014,0.015994645291417763
RB_2024_B,RIC,TSU,17,17,-0.2699999999999996,0.028999999999999915,0.2989999999999995,0.03877073678127162
Racing Bulls_2025_G,HAD,LAW,22,20,-0.24575000000000102,-0.19274999999999842,0.0530000000000026,0.6592824285940982
Racing Point_2019_A,PER,STR,13,15,0.125,0.4059999999999988,0.2809999999999988,0.7471061995484956
Racing Point_2019_C,PER,STR,11,12,0.06299999999999883,-0.004249999999998977,-0.06724999999999781,0.9754506745843579
Red Bull Racing_2019_G,GAS,VER,10,13,-0.8290000000000006,-0.8260000000000005,0.0030000000000001137,0.5980910784890172
Red Bull Racing_2020_C,ALB,VER,15,14,-0.26799999999999713,-0.79575,-0.5277500000000028,0.13214331982716343
Red Bull Racing_2021_G,PER,VER,12,10,-0.1720000000000006,-0.5142500000000005,-0.34224999999999994,0.37337802568045597
Red Bull Racing_2022_A,PER,VER,12,15,-0.5525000000000002,-0.3910000000000018,0.16149999999999842,0.7884125897107042
Red Bull Racing_2022_C,PER,VER,25,23,-0.8829999999999991,-0.5410000000000004,0.34199999999999875,0.05494707903254777
Red Bull Racing_2023_C,PER,VER,17,23,-0.625,-0.360000000000003,0.264999999999997,0.23940937013321506
Red Bull Racing_2023_E,PER,VER,17,13,-0.6095000000000006,-0.35199999999999676,0.25750000000000384,0.3051358189205261
Red Bull Racing_2024_C,PER,VER,29,26,-0.41499999999999915,-0.18149999999999977,0.23349999999999937,0.0648963041501043
Red Bull Racing_2025_F,TSU,VER,14,15,-0.1515000000000004,-0.1039999999999992,0.04750000000000121,0.9825901131969854
Renault_2018_F,HUL,SAI,15,16,0.7274999999999991,0.207749999999999,-0.5197500000000002,0.32300016301102874
Renault_2019_A,HUL,RIC,31,21,-0.007500000000000284,0.0,0.007500000000000284,0.8961286423845275
Williams_2018_G,SIR,STR,19,14,0.030000000000001137,-0.06299999999999883,-0.09299999999999997,0.23647565241391277
Williams_2019_A,KUB,RUS,28,27,-0.18850000000000122,-0.012000000000000455,0.17650000000000077,0.6313474870441435
Williams_2020_C,LAT,RUS,10,10,0.42150000000000176,-0.31599999999999895,-0.7375000000000007,0.12122450301291661
Williams_2021_D,LAT,RUS,23,21,0.02400000000000091,0.26200000000000045,0.23799999999999955,0.7244980441857846
Williams_2022_A,ALB,LAT,12,12,0.05600000000000094,-0.08949999999999925,-0.14550000000000018,0.1939308522824107
Williams_2023_E,ALB,SAR,16,14,0.06225000000000058,0.37100000000000044,0.30874999999999986,0.1515197722053929
Williams_2025_C,ALB,SAI,27,33,0.09199999999999875,-0.0884999999999998,-0.18049999999999855,0.44856818504618057
